DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityStartTimeZone,ActivityEndDate,ActivityEndTime,ActivityEndTimeZone,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-21,m,Probe/Sensor,Total dissolved solids,,,362.4,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLOL-1,First Lake,44.76804,-63.64878,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,"Alkalinity, carbonate",as CaCO3,,30.5,mg/L,Actual,,,,,,,2320B,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLOL-1,First Lake,44.76804,-63.64878,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,"Total Nitrogen, mixed forms",as N,Unfiltered,0.19,mg/L,Actual,,,,,,,4500N,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,Conductivity,,,530,uS/cm,Actual,,,,,,,2510B,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-20,m,Probe/Sensor,Dissolved oxygen saturation,,,0.2,%,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,Turbidity,,,0.6,NTU,Actual,,,,,,,2130B,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-1,m,Probe/Sensor,pH,,,7.63,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-20,m,Van Dorn Bottle,Carbonate,as CaCO3,,0.32,mg/L,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-7.5,m,Van Dorn Bottle,Silica,as SiO2,Total,1.1,mg/L,Actual,,1,mg/L,Reporting Limit,,,4500-SI E,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLEC-1,First Lake,44.76979,-63.67092,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Probe/Sensor,Dissolved oxygen saturation,,,93.2,%,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-7.5,m,Van Dorn Bottle,Chloride,,Dissolved,110,mg/L,Actual,,,,,,,4110B,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-5,m,Probe/Sensor,pH,,,7.59,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-20,m,Van Dorn Bottle,Strontium,,Dissolved,47,ug/L,Actual,,,,,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-20,m,Van Dorn Bottle,Inorganic nitrogen (nitrate and nitrite),as N,Unfiltered,0.03,mg/L,Actual,,0.02,mg/L,Reporting Limit,,,G-109-94,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,Bicarbonate,as CaCO3,,30.04,mg/L,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,Langelier Saturation Index,,,-0.7,None,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,Sulfate,,Dissolved,12,mg/L,Actual,,,,,,,4110B,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-6,m,Probe/Sensor,Total dissolved solids,,,346,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-5,m,Probe/Sensor,"Temperature, water",,,21.9,deg C,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-2,m,Probe/Sensor,pH,,,7.6,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-8,m,Probe/Sensor,Specific conductance,,,541,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-7,m,Probe/Sensor,Conductivity,,,492,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-7.5,m,Van Dorn Bottle,Ammonia,as N,Unfiltered,0.05,mg/L,Actual,,0.02,mg/L,Reporting Limit,,,G-102-93,Seal,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLOL-1,First Lake,44.76804,-63.64878,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,Sum of anions,,,3.96,meq/L,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Probe/Sensor,Dissolved oxygen (DO),,,7.21,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-62,m,Van Dorn Bottle,Barium,,Dissolved,27,ug/L,Actual,,,,,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-4,m,Probe/Sensor,Specific conductance,,,533,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-7.5,m,Van Dorn Bottle,Bicarbonate,as CaCO3,,31.28,mg/L,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLOL-1,First Lake,44.76804,-63.64878,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,"pH, saturated",,,9.3,None,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-7.5,m,Van Dorn Bottle,Conductivity,,,540,uS/cm,Actual,,,,,,,2510B,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-20,m,Van Dorn Bottle,Silica,as SiO2,Total,2,mg/L,Actual,,1,mg/L,Reporting Limit,,,4500-SI E,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,Langelier Saturation Index,,,-1.4,None,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-4,m,Probe/Sensor,Total dissolved solids,,,346.1,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-20,m,Van Dorn Bottle,Calcium,,Dissolved,15.9,mg/L,Actual,,,,,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-21,m,Probe/Sensor,Salinity,,,0.27,ppth,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-7,m,Probe/Sensor,Dissolved oxygen (DO),,,4.88,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-7.5,m,Van Dorn Bottle,Conductivity,,,510,uS/cm,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLOL-1,First Lake,44.76804,-63.64878,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,Conductivity,,,512,uS/cm,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-20,m,Van Dorn Bottle,Sulfate,,Dissolved,10,mg/L,Actual,,,,,,,4110B,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLOL-1,First Lake,44.76804,-63.64878,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,Arsenic,,Dissolved,0.6,ug/L,Actual,,0.5,ug/L,Reporting Limit,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-3,m,Probe/Sensor,Specific conductance,,,533,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLOL-1,First Lake,44.76804,-63.64878,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Probe/Sensor,Dissolved oxygen saturation,,,103.8,%,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-7,m,Probe/Sensor,"Temperature, water",,,21,deg C,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-6.2,m,Van Dorn Bottle,Langelier Saturation Index,,,-1.5,None,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-6,m,Probe/Sensor,"Temperature, water",,,21.9,deg C,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-7.5,m,Van Dorn Bottle,Sodium,,Dissolved,83.7,mg/L,Actual,,,,,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-5,m,Probe/Sensor,Conductivity,,,501,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-20,m,Van Dorn Bottle,Arsenic,,Dissolved,0.8,ug/L,Actual,,0.5,ug/L,Reporting Limit,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-2,m,Probe/Sensor,"Temperature, water",,,22,deg C,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-21,m,Probe/Sensor,Dissolved oxygen (DO),,,0.01,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLOL-1,First Lake,44.76804,-63.64878,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,Sodium,,Dissolved,84.6,mg/L,Actual,,,,,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,Potassium,,Dissolved,1.7,mg/L,Actual,,,,,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-6.2,m,Van Dorn Bottle,Sum of anions,,,3.96,meq/L,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-6,m,Probe/Sensor,Specific conductance,,,532,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,True color,,,9.2,TCU,Actual,,5,TCU,Reporting Limit,,,2120C,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-3,m,Probe/Sensor,pH,,,7.6,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLOL-1,First Lake,44.76804,-63.64878,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,"pH, lab",,,7.9,None,Actual,,,,,,,4500 H+B,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,Pheophytin,,Total,0.5,ug/L,Actual,,,,,,,445,USEPA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Probe/Sensor,"Temperature, water",,,22.4,deg C,Actual,,,,,,0km/hr,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-7.5,m,Van Dorn Bottle,Magnesium,,Dissolved,1.9,mg/L,Actual,,,,,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-2,m,Probe/Sensor,Dissolved oxygen saturation,,,84.5,%,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,"Alkalinity, carbonate",as CaCO3,,30.3,mg/L,Actual,,,,,,,2320B,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-6.2,m,Van Dorn Bottle,Carbonate,as CaCO3,,0.18,mg/L,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-7.5,m,Van Dorn Bottle,Barium,,Dissolved,29,ug/L,Actual,,,,,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-6.2,m,Van Dorn Bottle,"pH, saturated",,,9.3,None,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-6.2,m,Van Dorn Bottle,Sulfate,,Total,0.25,meq/L,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-4,m,Probe/Sensor,Dissolved oxygen saturation,,,84.5,%,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-6.2,m,Van Dorn Bottle,Calcium,,Dissolved,15.5,mg/L,Actual,,,,,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLEC-1,First Lake,44.76979,-63.67092,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Probe/Sensor,pH,,,7.67,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-20,m,Van Dorn Bottle,Conductivity,,,521,uS/cm,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Probe/Sensor,Total dissolved solids,,,346.8,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-20,m,Probe/Sensor,"Temperature, water",,,8.3,deg C,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-6.2,m,Van Dorn Bottle,Turbidity,,,1,NTU,Actual,,,,,,,2130B,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-6,m,Probe/Sensor,Conductivity,,,501,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLOL-1,First Lake,44.76804,-63.64878,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,Barium,,Dissolved,22,ug/L,Actual,,,,,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2022-09-12,,,2022-09-12,,,-13,m,Probe/Sensor,Specific conductance,,,541,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-7.5,m,Van Dorn Bottle,"Alkalinity, carbonate",as CaCO3,,31.5,mg/L,Actual,,,,,,,2320B,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLOL-1,First Lake,44.76804,-63.64878,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2022-09-12,,,2022-09-12,,,-0.4,m,Van Dorn Bottle,Organic carbon,,Total,2.5,mg/L,Actual,,,,,,,5310A and C,APHA,,,,,Nova Scotia Health Authority,
